Rank, Word, Likelihood 
1, sales, 6.57175867717824e-05
2, bones, 4.558943123017919e-05
3, tones, 4.39009337772096e-05
4, tales, 3.9047328940838395e-05
5, fares, 3.61544050917504e-05
6, lanes, 3.266459247935521e-05
7, seats, 3.202868159210881e-05
8, shoes, 3.15925899857568e-05
9, tries, 3.1287023458891195e-05
10, sites, 3.1057306574112e-05
11, tires, 3.0803896311552e-05
12, sorts, 2.9104631385776643e-05
13, males, 2.8534586533689606e-05
14, boats, 2.6259598169222393e-05
15, saves, 2.5305047779939204e-05
16, tiles, 2.5282443199104e-05
17, trees, 2.51407743363504e-05
18, fires, 2.3409327037824e-05
19, coins, 2.3352322864147197e-05
20, mines, 2.2324721478696002e-05
21, beans, 2.1958197781823998e-05
22, lines, 2.1149736137712003e-05
23, cases, 2.1025484814297597e-05
24, wales, 2.0662976455430398e-05
25, roles, 2.0623360091443197e-05
26, bases, 2.0274574642358396e-05
27, beats, 1.9762378003641597e-05
28, loans, 1.9451554199424007e-05
29, files, 1.9213315587647998e-05
30, dates, 1.92016332353664e-05
31, boots, 1.9186448339770558e-05
32, sides, 1.8646611230520002e-05
33, miles, 1.8475631568575997e-05
34, bears, 1.8344823463296e-05
35, tears, 1.7665385557248e-05
36, trans, 1.7596637948448e-05
37, tools, 1.733246794334016e-05
38, codes, 1.7145978892224e-05
39, carey, 1.71199786028544e-05
40, sells, 1.686486424489344e-05
41, tunes, 1.6830577060206e-05
42, wires, 1.6300735581312e-05
43, rates, 1.61777539857024e-05
44, wines, 1.6166177622504e-05
45, comes, 1.5909219759014398e-05
46, means, 1.5452065105728003e-05
47, souls, 1.542261430110384e-05
48, calls, 1.5410987221029117e-05
49, holes, 1.5033851281612801e-05
50, fails, 1.4953117680749159e-05
51, genes, 1.49419719505056e-05
52, balls, 1.4860594820278077e-05
53, pairs, 1.4796188409736799e-05
54, mails, 1.4379001469620921e-05
55, tions, 1.4285442635568e-05
56, parts, 1.4124056055073918e-05
57, paris, 1.4124056055073918e-05
58, pants, 1.4007465969713637e-05
59, slots, 1.3944789772719839e-05
60, cents, 1.3899775305548159e-05
61, sends, 1.3748530634424e-05
62, fears, 1.3424755867775999e-05
63, moses, 1.3275083423347202e-05
64, pools, 1.317175614261792e-05
65, ports, 1.3141807552442882e-05
66, teens, 1.31132678151072e-05
67, meals, 1.30462372474944e-05
68, fonts, 1.3033325650476959e-05
69, pages, 1.3003648057764e-05
70, gates, 1.2889285301692801e-05
71, cards, 1.2667874518656e-05
72, saint, 1.2642232956804002e-05
73, suits, 1.259225290596735e-05
74, seeds, 1.2571486394616e-05
75, beads, 1.2507834179519997e-05
76, shots, 1.2341940373556641e-05
77, spies, 1.2189075783885e-05
78, bands, 1.2114615342617999e-05
79, toner, 1.2072309002790398e-05
80, deals, 1.2028109839795199e-05
81, bored, 1.1965790585548797e-05
82, faces, 1.1767235619484799e-05
83, brass, 1.17505105209792e-05
84, blues, 1.1644509896510398e-05
85, modes, 1.1634771391151998e-05
86, doors, 1.1555024580633599e-05
87, babes, 1.14190133043168e-05
88, bonds, 1.1272112117351998e-05
89, belts, 1.1092431524624639e-05
90, loads, 1.1079999227520003e-05
91, falls, 1.0874994676908479e-05
92, cells, 1.0791386735109119e-05
93, goals, 1.07284486347456e-05
94, money, 1.0719995457225599e-05
95, tapes, 1.0603369496865601e-05
96, gains, 1.05398096030964e-05
97, roots, 1.0487611608456959e-05
98, three, 1.0394109806080001e-05
99, roses, 1.0311680045721599e-05
100, times, 1.0280073886991999e-05
101, moves, 1.0223340107635201e-05
102, polls, 1.011870008307072e-05
103, maine, 1.007522321058e-05
104, thats, 1.00366009039296e-05
105, songs, 1.002742908584976e-05
106, tells, 1.0020573396887038e-05
107, lions, 9.889921824624e-06
108, penis, 9.808585283348638e-06
109, wants, 9.753889916083319e-06
110, jones, 9.723416367100801e-06
111, loves, 9.685269575654403e-06
112, bills, 9.621967869244799e-06
113, plans, 9.575378484767999e-06
114, since, 9.32574582612e-06
115, share, 9.276325027200001e-06
116, sense, 9.181891894752e-06
117, roads, 9.084750324479999e-06
118, tours, 9.067463645011201e-06
119, wages, 9.054896291532e-06
120, sorry, 9.0276981290496e-06
121, dolls, 8.970854523909119e-06
122, cross, 8.90343341983872e-06
123, foods, 8.886492150192e-06
124, races, 8.7894883859328e-06
125, class, 8.725573427558399e-06
126, sheet, 8.643052546128e-06
127, meets, 8.62449537070512e-06
128, shine, 8.56937928924e-06
129, seeks, 8.5206741119064e-06
130, feels, 8.413814826450718e-06
131, leads, 8.33855611968e-06
132, cakes, 8.3376922539456e-06
133, peers, 8.325513921225599e-06
134, books, 8.230473619732799e-06
135, banks, 8.2110170655522e-06
136, sauce, 8.203428231588e-06
137, tried, 8.144072201865599e-06
138, signs, 8.09385872094e-06
139, lands, 8.076410228412e-06
140, sally, 8.04779015485536e-06
141, marie, 8.034911551008e-06
142, tired, 8.018313278976e-06
143, waves, 7.9564334627232e-06
144, basis, 7.920451961932319e-06
145, birds, 7.909284450239999e-06
146, tanks, 7.906905322383598e-06
147, rules, 7.906507251552e-06
148, diane, 7.792992287999999e-06
149, takes, 7.7421428072352e-06
150, burns, 7.649710197191999e-06
151, costs, 7.642578391902719e-06
152, walls, 7.572640272402239e-06
153, rolls, 7.558121528017918e-06
154, seems, 7.4870185639046415e-06
155, suite, 7.449517223032499e-06
156, moore, 7.41452700384e-06
157, monte, 7.414415406504e-06
158, chris, 7.39171997093376e-06
159, chaos, 7.388189175628799e-06
160, sheer, 7.373946096316801e-06
161, sluts, 7.372576491316559e-06
162, turns, 7.366387597295999e-06
163, trace, 7.352948041919999e-06
164, buses, 7.232237357435999e-06
165, games, 7.180448307832799e-06
166, teams, 7.173217165670399e-06
167, pills, 7.041363459868799e-06
168, casey, 7.025651596454399e-06
169, stats, 6.965141373626401e-06
170, saver, 6.958630030060801e-06
171, notes, 6.893284447795199e-06
172, reads, 6.836977048319999e-06
173, breed, 6.795891452750399e-06
174, shore, 6.777701995680001e-06
175, mills, 6.7710144265055996e-06
176, louis, 6.762552431751361e-06
177, lives, 6.739749446976001e-06
178, peace, 6.714618629759999e-06
179, areas, 6.6882432790476e-06
180, panel, 6.6855055261175975e-06
181, saved, 6.586952461689601e-06
182, sandy, 6.560698495806e-06
183, talks, 6.543645784041599e-06
184, stars, 6.465532076784001e-06
185, booty, 6.411138796520639e-06
186, board, 6.3451191006719985e-06
187, leone, 6.3275653180800005e-06
188, shade, 6.324767064000001e-06
189, plots, 6.296583561677279e-06
190, rides, 6.289006782239999e-06
191, coast, 6.271338386432e-06
192, solid, 6.218030644784638e-06
193, carry, 6.208343888947201e-06
194, woods, 6.187976209296e-06
195, belle, 6.156128558015999e-06
196, homes, 6.1129021734144e-06
197, force, 6.1016092577280004e-06
198, fired, 6.093492717311999e-06
199, honey, 6.070124469427199e-06
200, salad, 6.0624378774432005e-06
201, parks, 6.058842611529599e-06
202, bonus, 5.98674399121584e-06
203, barry, 5.9866173214848e-06
204, alias, 5.959922802530399e-06
205, solar, 5.9591208069503995e-06
206, trade, 5.929796807999999e-06
207, lance, 5.924677923576001e-06
208, watts, 5.891767036112159e-06
209, votes, 5.873359708070401e-06
210, clone, 5.865277440959999e-06
211, marks, 5.826216891715201e-06
212, words, 5.791836451968001e-06
213, dance, 5.765778515663999e-06
214, finds, 5.740241950979998e-06
215, taxes, 5.722453379260801e-06
216, paint, 5.708431429668e-06
217, feeds, 5.6764867644719986e-06
218, plane, 5.664748593599999e-06
219, makes, 5.657719743748801e-06
220, lease, 5.56886571264e-06
221, boxes, 5.5292770338623996e-06
222, minds, 5.51984871726e-06
223, slide, 5.515226026199999e-06
224, lined, 5.505316873056e-06
225, dried, 5.4869876373311984e-06
226, looks, 5.486982413155201e-06
227, later, 5.4257720759424015e-06
228, loose, 5.406573757824001e-06
229, posts, 5.3931002691628795e-06
230, fotos, 5.38133008088448e-06
231, lakes, 5.3599450203936005e-06
232, tests, 5.340800363708159e-06
233, press, 5.332787154897119e-06
234, farms, 5.323835475048959e-06
235, corps, 5.317199406274559e-06
236, point, 5.311442193552e-06
237, whats, 5.3111455711776e-06
238, wells, 5.302664171562239e-06
239, sarah, 5.290898563382401e-06
240, goods, 5.2884708956639995e-06
241, based, 5.277510657619199e-06
242, bless, 5.2180034872233595e-06
243, pipes, 5.217408974232e-06
244, silly, 5.2107993808416e-06
245, bikes, 5.205701998223999e-06
246, cited, 5.172917637887998e-06
247, leeds, 5.171249722608e-06
248, wives, 5.151647565792001e-06
249, grass, 5.1173998565184e-06
250, nails, 5.114853517324319e-06
251, girls, 5.1055570323648e-06
252, plate, 5.098273734239999e-06
253, raise, 5.032496338847999e-06
254, filed, 5.001262890623999e-06
255, dated, 4.998221951923199e-06
256, heads, 4.98396457728e-06
257, meant, 4.98046978112e-06
258, forms, 4.953592720189441e-06
259, fairy, 4.9441363963992e-06
260, hints, 4.9384112952096e-06
261, terms, 4.905554964910079e-06
262, false, 4.899949706303999e-06
263, craps, 4.869488320300799e-06
264, hands, 4.827279676752e-06
265, joins, 4.8027560570352e-06
266, chess, 4.789278637059839e-06
267, cause, 4.778804934624e-06
268, brand, 4.756609316447999e-06
269, sound, 4.7548478270304e-06
270, bride, 4.752482001299999e-06
271, dress, 4.72784620364352e-06
272, party, 4.719543822564479e-06
273, jeans, 4.683293779776e-06
274, santa, 4.683008962940399e-06
275, chile, 4.629589830095999e-06
276, tuner, 4.6282370210439995e-06
277, folks, 4.6269917921088e-06
278, danny, 4.6106987485104e-06
279, facts, 4.59698050849104e-06
280, chase, 4.568673697279999e-06
281, fence, 4.5540276351840005e-06
282, beast, 4.551107496191999e-06
283, satin, 4.5489163130712e-06
284, taste, 4.512157380431998e-06
285, spots, 4.5080139351465e-06
286, poems, 4.49211415309632e-06
287, ranks, 4.4882698646951996e-06
288, wiley, 4.470552305856e-06
289, daily, 4.42977259508784e-06
290, boost, 4.418475795187199e-06
291, fleet, 4.409493235056e-06
292, blade, 4.409336087999999e-06
293, gives, 4.4027865161280005e-06
294, forty, 4.3913261466547204e-06
295, dairy, 4.3832832275232e-06
296, price, 4.312558763172e-06
297, seven, 4.301576121024e-06
298, shake, 4.2867865656e-06
299, salon, 4.2601034264544e-06
300, const, 4.2533835346688e-06
301, wired, 4.243112729856e-06
302, rated, 4.211100384691199e-06
303, candy, 4.198019841287999e-06
304, berry, 4.1920677646848e-06
305, brake, 4.173664676399999e-06
306, peter, 4.1705416386815996e-06
307, tracy, 4.1531478940224e-06
308, water, 4.1472855523008e-06
309, cover, 4.1429894245376e-06
310, nodes, 4.138684560192e-06
311, names, 4.1271784995167995e-06
312, butts, 4.124348469523799e-06
313, state, 4.1205446722799995e-06
314, sunny, 4.1085216199755e-06
315, boobs, 4.1017442301619194e-06
316, alone, 4.088358413279999e-06
317, alien, 4.082497827407998e-06
318, hopes, 4.0824682359552e-06
319, socks, 4.0635496610784e-06
320, terry, 4.0368059956224e-06
321, meter, 4.0104161307392e-06
322, tract, 4.006088933184e-06
323, place, 4.001176854719999e-06
324, title, 4.0008535070399995e-06
325, winds, 3.99713182974e-06
326, brain, 3.9924205156079995e-06
327, larry, 3.991078214323201e-06
328, coach, 3.9849220486655994e-06
329, davis, 3.95737735758912e-06
330, rooms, 3.95313630248448e-06
331, works, 3.9255780396672e-06
332, tubes, 3.922465046135999e-06
333, shirt, 3.900545055792e-06
334, arise, 3.878165587823998e-06
335, dealt, 3.876869348608e-06
336, worse, 3.868050891264e-06
337, piece, 3.85040948436e-06
338, train, 3.8445530891039995e-06
339, hills, 3.8340408367872e-06
340, write, 3.826385317061999e-06
341, close, 3.771596126591999e-06
342, count, 3.7673627743359997e-06
343, shame, 3.7667501625600005e-06
344, hours, 3.7520539220736008e-06
345, gross, 3.73900344355296e-06
346, ships, 3.72214785988584e-06
347, holds, 3.717161031168e-06
348, laser, 3.7168674850943997e-06
349, colin, 3.7105949760767993e-06
350, short, 3.6926790183360008e-06
351, diary, 3.6773671334400004e-06
352, dense, 3.6756509712639998e-06
353, fancy, 3.6733707606304793e-06
354, glass, 3.6643110083712e-06
355, phone, 3.6631830866399992e-06
356, loops, 3.6519915733459204e-06
357, penny, 3.6417024103824e-06
358, wrote, 3.6224713659959988e-06
359, motel, 3.6132217523583992e-06
360, booth, 3.5773997924419195e-06
361, crops, 3.5578680791875193e-06
362, links, 3.544323913188e-06
363, shops, 3.52378888302672e-06
364, james, 3.5165245378536e-06
365, salem, 3.5124454782143998e-06
366, trips, 3.4897064627224795e-06
367, pride, 3.4778699702999995e-06
368, belly, 3.4771512338035195e-06
369, likes, 3.4704679988160004e-06
370, walks, 3.4627515488495996e-06
371, firms, 3.4470877176575998e-06
372, tooth, 3.4449035038329594e-06
373, paste, 3.429000237383999e-06
374, lists, 3.4189001274528002e-06
375, there, 3.41814384912e-06
376, spare, 3.3882680700000002e-06
377, daisy, 3.3737998175481598e-06
378, janet, 3.368270739288e-06
379, canal, 3.3575615751383996e-06
380, stone, 3.3451733629800005e-06
381, chose, 3.3380793304319996e-06
382, print, 3.3264960129719997e-06
383, grace, 3.3254048836799993e-06
384, hired, 3.317922736128e-06
385, canon, 3.2938309523951995e-06
386, route, 3.2802625241279996e-06
387, tasks, 3.2718228920207995e-06
388, blair, 3.2383380598847997e-06
389, chart, 3.23392134912e-06
390, phase, 3.2239532371199996e-06
391, billy, 3.2151740860511997e-06
392, genre, 3.20556919056e-06
393, creek, 3.203450516448e-06
394, camel, 3.1880571576671993e-06
395, menus, 3.1705284138283203e-06
396, funds, 3.1624481118824996e-06
397, coral, 3.1500649840127997e-06
398, front, 3.149221930776e-06
399, court, 3.147417001344e-06
400, spine, 3.1300492533749996e-06
401, those, 3.0996450925439997e-06
402, plant, 3.0863113027199997e-06
403, perry, 3.0677584025088e-06
404, ferry, 3.0677584025088e-06
405, merit, 3.0653988201216e-06
406, south, 3.0653117731310397e-06
407, faced, 3.0630339964223995e-06
408, alice, 3.050280720431999e-06
409, broke, 3.0494679006599994e-06
410, tiger, 3.0466756756799997e-06
411, least, 3.034071664128e-06
412, horse, 3.024641298432e-06
413, mouse, 3.0172447737279996e-06
414, specs, 3.0029492329605006e-06
415, flags, 2.9938208680223997e-06
416, blogs, 2.98909325020176e-06
417, blake, 2.988550015199999e-06
418, chair, 2.9722677126911997e-06
419, faith, 2.9719972747119593e-06
420, allen, 2.9690893290239992e-06
421, learn, 2.96890247808e-06
422, shall, 2.9546500715424e-06
423, trail, 2.9528752297823996e-06
424, merry, 2.9499736121856e-06
425, bruce, 2.9496177737639997e-06
426, whale, 2.9476039454399995e-06
427, logos, 2.9433481818912007e-06
428, hosts, 2.93655721462272e-06
429, crime, 2.9351954681279993e-06
430, bound, 2.9338422762527993e-06
431, minus, 2.9316529853892e-06
432, beach, 2.8918561700736e-06
433, solve, 2.88203056992e-06
434, laden, 2.8757739301199997e-06
435, color, 2.8731159397785596e-06
436, treat, 2.871777288276e-06
437, space, 2.864626641e-06
438, shape, 2.85317269776e-06
439, giant, 2.8500599952e-06
440, trend, 2.8406107130543996e-06
441, worry, 2.8384961020416004e-06
442, broad, 2.8375048859255997e-06
443, films, 2.8292135041151997e-06
444, fatty, 2.827273893706079e-06
445, timer, 2.8269154630079997e-06
446, fixes, 2.815744525776e-06
447, brian, 2.7952241839829996e-06
448, store, 2.79470179692e-06
449, teach, 2.7847503859967993e-06
450, green, 2.760166861451999e-06
451, helen, 2.7465975613439996e-06
452, shoot, 2.7191545498656e-06
453, cindy, 2.7181423432799993e-06
454, rally, 2.71430589935232e-06
455, blast, 2.7119613162239995e-06
456, dirty, 2.7091735227647997e-06
457, betty, 2.7053397866476794e-06
458, forge, 2.700891553152e-06
459, grams, 2.6997306329664e-06
460, hairy, 2.6920952106048e-06
461, clips, 2.69101770914592e-06
462, polar, 2.6907614045568e-06
463, sizes, 2.6900029316160003e-06
464, frame, 2.6837704598399997e-06
465, grade, 2.6817781319999993e-06
466, weeks, 2.6790772030343996e-06
467, lover, 2.6633503443456005e-06
468, moved, 2.6611550341376e-06
469, horny, 2.6567650916352e-06
470, derek, 2.655655847936e-06
471, large, 2.644401269952e-06
472, serve, 2.64262976064e-06
473, acres, 2.6334925501248003e-06
474, these, 2.630934962656e-06
475, blind, 2.6286375619151995e-06
476, blame, 2.6260046035199997e-06
477, chain, 2.6238861855359996e-06
478, discs, 2.6112245602175996e-06
479, cocks, 2.6001594364032e-06
480, dover, 2.5919194921983998e-06
481, drain, 2.5902294022079995e-06
482, could, 2.568796922236159e-06
483, cable, 2.5674499314239994e-06
484, grant, 2.5650539956799996e-06
485, karen, 2.5579775195519997e-06
486, mount, 2.556424739728e-06
487, carol, 2.5509409006233596e-06
488, speed, 2.5495442072099997e-06
489, colon, 2.5363560595967994e-06
490, bunny, 2.5350452548784993e-06
491, manor, 2.53186069486032e-06
492, hayes, 2.5304154902208e-06
493, loved, 2.5210942428672003e-06
494, pearl, 2.5031062552319995e-06
495, reset, 2.501291659776e-06
496, mercy, 2.49406859939328e-06
497, blond, 2.4885534285215997e-06
498, roger, 2.485230127744e-06
499, hence, 2.4796799688959994e-06
500, crude, 2.4668249003999994e-06
501, array, 2.4644622195648e-06
502, alter, 2.4548257353983995e-06
503, forth, 2.45034926620416e-06
504, ellis, 2.4481013258303997e-06
505, crest, 2.4357877250111998e-06
506, white, 2.424952011635999e-06
507, fault, 2.4123432704507996e-06
508, lotus, 2.41083309356928e-06
509, bread, 2.4084340588043994e-06
510, death, 2.3906392250111994e-06
511, waste, 2.3877331495919997e-06
512, harry, 2.3854720361472004e-06
513, table, 2.3840606506079998e-06
514, chips, 2.3817053287843197e-06
515, movie, 2.362738797792e-06
516, heart, 2.3560806297600004e-06
517, slope, 2.3553914786639994e-06
518, rings, 2.3534435450447997e-06
519, built, 2.349327653788499e-06
520, month, 2.3368192005326397e-06
521, birth, 2.3300603550143994e-06
522, aaron, 2.3150563406208e-06
523, slave, 2.3026532904e-06
524, surge, 2.29318660116e-06
525, ready, 2.2845712780799996e-06
526, while, 2.274884657891999e-06
527, crash, 2.2720814274815995e-06
528, baths, 2.24410884919776e-06
529, early, 2.2407821287488e-06
530, world, 2.23463695977984e-06
531, drops, 2.22585835495968e-06
532, paper, 2.2158673428527997e-06
533, randy, 2.212749374472e-06
534, baker, 2.2108953144096e-06
535, spice, 2.2108449156749998e-06
536, teeth, 2.2005251131593594e-06
537, fever, 2.2002070062335997e-06
538, wings, 2.1939812487683997e-06
539, rover, 2.1837431942144e-06
540, delay, 2.1815210656511996e-06
541, badly, 2.1760425507365997e-06
542, donor, 2.17193883542784e-06
543, choir, 2.1716730223372797e-06
544, model, 2.1693555796639996e-06
545, whole, 2.1536525601359997e-06
546, range, 2.150308475016e-06
547, pound, 2.1469880259167997e-06
548, found, 2.1469880259167997e-06
549, noise, 2.144329106304e-06
550, moral, 2.1375440962944e-06
551, whore, 2.13105050928e-06
552, purse, 2.1296054740799994e-06
553, blend, 2.1122489917583992e-06
554, trash, 2.1097898969471996e-06
555, worst, 2.1074208304128e-06
556, first, 2.1060323274239996e-06
557, plain, 2.0920502564639994e-06
558, start, 2.0839536273600003e-06
559, grand, 2.0715246192959995e-06
560, prime, 2.071264782312e-06
561, trial, 2.0674045287323995e-06
562, steel, 2.0616230754756004e-06
563, ruled, 2.0580789989759997e-06
564, carlo, 2.05309268548608e-06
565, kills, 2.0521949350752e-06
566, maria, 2.0502877750848e-06
567, hotel, 2.0459622263807997e-06
568, autos, 2.037871002837599e-06
569, child, 2.0370195252422393e-06
570, field, 2.0251221782615994e-06
571, frost, 2.0250692921951995e-06
572, stand, 2.0144885064480003e-06
573, aimed, 2.0087166939839993e-06
574, voice, 2.006884261008e-06
575, elite, 1.99139209236e-06
576, diana, 1.9885566528e-06
577, march, 1.98743940537984e-06
578, brave, 1.9842012395999995e-06
579, packs, 1.9719817933752003e-06
580, bench, 1.9613314830902396e-06
581, cheat, 1.959972090384e-06
582, merge, 1.9545880956159996e-06
583, guess, 1.9426953831053996e-06
584, needs, 1.941695298144e-06
585, donna, 1.9381181130879996e-06
586, basin, 1.9227535362503995e-06
587, flame, 1.9217121811199998e-06
588, truly, 1.9177096775709596e-06
589, camps, 1.9071192956558397e-06
590, heard, 1.902758787072e-06
591, women, 1.8977517555359998e-06
592, build, 1.8973051178696992e-06
593, clear, 1.8893447877024e-06
594, today, 1.885413092472e-06
595, taken, 1.8794675521439998e-06
596, weird, 1.8779857411391998e-06
597, years, 1.8743114649600003e-06
598, scale, 1.8718983214200002e-06
599, third, 1.8716671157183998e-06
600, latin, 1.8711854337455999e-06
601, shark, 1.8552650054400004e-06
602, funny, 1.8551480600834998e-06
603, liver, 1.8533623530240003e-06
604, perth, 1.8440772828134396e-06
605, float, 1.841106304584e-06
606, holly, 1.8410487401779197e-06
607, relay, 1.8379744411391999e-06
608, shell, 1.83235960081944e-06
609, bytes, 1.8098406786096e-06
610, where, 1.8088055647199998e-06
611, armed, 1.8078450245855995e-06
612, noted, 1.7943351602175998e-06
613, snake, 1.7676035514e-06
614, catch, 1.75455176899968e-06
615, lived, 1.754369705088e-06
616, total, 1.7522767144896e-06
617, super, 1.750538539386e-06
618, token, 1.748761175616e-06
619, pulse, 1.7478837381599996e-06
620, burke, 1.7471991977999997e-06
621, prior, 1.7459386957108798e-06
622, euros, 1.742971943664e-06
623, grain, 1.7387169806159998e-06
624, rider, 1.7294127177599997e-06
625, their, 1.7116221384662399e-06
626, clara, 1.7113254681599995e-06
627, house, 1.708494318336e-06
628, worth, 1.70626414871808e-06
629, batch, 1.69188920582112e-06
630, oasis, 1.6892917977556797e-06
631, malta, 1.6827833625696e-06
632, maple, 1.679976804618e-06
633, filme, 1.6737493190399997e-06
634, kinds, 1.67298500142e-06
635, locks, 1.6715310662592004e-06
636, clean, 1.6678933956719998e-06
637, alike, 1.6672681357199994e-06
638, cloth, 1.6637162837702398e-06
639, henry, 1.6566137812223998e-06
640, towns, 1.6540792952736e-06
641, pilot, 1.6536781100159998e-06
642, paths, 1.6422405754665598e-06
643, whose, 1.6402631192639998e-06
644, minor, 1.6393342628592e-06
645, wanna, 1.636039380276e-06
646, shows, 1.6317051970665604e-06
647, piano, 1.62465797952e-06
648, handy, 1.6130322542879998e-06
649, wider, 1.6122328840799998e-06
650, round, 1.6036839006847997e-06
651, bible, 1.6030070229599994e-06
652, porno, 1.5966292325376002e-06
653, jokes, 1.5955189758144e-06
654, leave, 1.5895384416000002e-06
655, milan, 1.5895027159199997e-06
656, burst, 1.5854968503359997e-06
657, crack, 1.5837118859519998e-06
658, frank, 1.58222288304e-06
659, atlas, 1.5818394899088e-06
660, reach, 1.5807336408576e-06
661, alert, 1.5795123917759997e-06
662, story, 1.5785246701224002e-06
663, wheel, 1.5720542741903998e-06
664, texts, 1.5654070031558398e-06
665, rhode, 1.5585946991999999e-06
666, sucks, 1.557868587849e-06
667, maker, 1.5558152212512004e-06
668, drums, 1.5536156805907199e-06
669, blank, 1.5481668931199997e-06
670, joint, 1.548011948208e-06
671, tribe, 1.5458278904639996e-06
672, chest, 1.5436679409535997e-06
673, swiss, 1.54234224863928e-06
674, sagem, 1.5392182052520002e-06
675, final, 1.5340880535659995e-06
676, ranch, 1.53103884679584e-06
677, blood, 1.5309328686854399e-06
678, voted, 1.5288467946752e-06
679, ellen, 1.5212648505599999e-06
680, river, 1.5196151093759997e-06
681, haven, 1.510336743552e-06
682, safer, 1.5059721706848002e-06
683, poker, 1.5054166318463999e-06
684, fruit, 1.4984873889155995e-06
685, spain, 1.4977950529499999e-06
686, wound, 1.4950230756384e-06
687, wrist, 1.4895047824271999e-06
688, fiber, 1.487872556352e-06
689, mario, 1.4850733073587202e-06
690, korea, 1.480052607488e-06
691, notre, 1.4788476595199998e-06
